Year,Rep,Blk,Entry,Treatment,Accession,Name,Main_plot,x,y,salinity_0_6,salinity_6_24,SLA_leaf_area,SLA_leaf_wt,standct_early_row1,standct_early_row2,standct_late_row1,standct_late_row2,plants_m2,X_4_plant_bloom_Julian,flower,height_front,height_back,height,lodging,matu,maturity,survivors_plot,survivor_density,survivor_perc_indian,survivor_perc,testweight_g,seed_200wt_g,seed_ct_200wt,dirty_wt_kg,clean_wt_kg,oil_perc,Comments,Harvest_date
2016,1,12,18,Control,Ames 31712,UGA-SAM1-019,1035,172.5,10,0,0,1220.25,7.27,20,20,NA,NA,4.316894599,226,72,135,149,142,1,277,126,40,NA,NA,44.44444444,183.19,10.437,200,1.08,0.7,39.37859578,,NA
2016,1,12,21,Control,Ames 31715,UGA-SAM1-022,2036,177.5,45,0,0.16,1443.99,7.86,29,20,NA,NA,5.288195883,221,67,143,129,136,1,287,136,49,NA,NA,54.44444444,213.58,7.233,200,1.22,0.77,45.72182254,,NA
2016,1,12,210,Saline,Ames 31908,UGA-SAM1-216,9032,157.5,330,4.85,5.02,732.04,4.51,16,18,NA,NA,3.669360409,226,72,126,138,132,1,272,121,31,3.345593314,91.17647059,34.44444444,164.24,8.027,200,0.76,0.52,38.2374857,,NA
2016,1,12,216,Saline,Ames 31914,UGA-SAM1-222,9031,152.5,330,4.84,5.05,656.7,4.35,13,13,NA,NA,2.805981489,221,67,111,126,118.5,1,287,136,15,1.618835475,57.69230769,16.66666667,177.72,10.93,200,0.54,0.37,36.39235621,,NA
2016,1,12,219,Saline,Ames 31917,UGA-SAM1-225,10036,177.5,365,6.36,6.43,546.27,3.05,7,10,NA,NA,1.834680204,221,67,83,98,90.5,1,272,121,12,1.29506838,70.58823529,13.33333333,199.41,9.888,200,0.15,0.12,33.80626796,,NA
2016,1,12,221,Control,Ames 31919,UGA-SAM1-227,1029,142.5,10,0,0,1430.34,9.02,15,22,NA,NA,3.993127504,232,78,176,181,178.5,1,277,126,37,NA,NA,41.11111111,161.47,10.282,200,1.88,0.97,24.56107781,,NA
2016,1,12,23,Control,Ames 31717,UGA-SAM1-024,1033,162.5,10,0,0,892.54,4.84,31,28,NA,NA,6.367419533,226,72,151,152,151.5,1,277,126,59,NA,NA,65.55555556,199.88,5.693,200,0.98,0.33,42.47285212,,NA
2016,1,12,23,Saline,Ames 31717,UGA-SAM1-024,9029,142.5,330,4.82,5.09,858.41,5.07,24,22,NA,NA,4.964428789,221,67,123,124,123.5,1,287,136,51,5.504040613,110.8695652,56.66666667,210.26,5.206,200,1,0.35,43.27620726,,NA
2016,1,12,238,Control,Ames 31937,UGA-SAM1-245,2035,172.5,45,0,0.15,796.75,4.74,21,24,NA,NA,4.856506424,225,71,143,157,150,1,287,136,45,NA,NA,50,187.06,11.93,200,0.83,0.5,35.87258502,,NA
2016,1,12,244,Control,Ames 31944,UGA-SAM1-252,1036,177.5,10,0,0,944.68,5.4,25,24,NA,NA,5.288195883,228,74,147,129,138,1,277,126,49,NA,NA,54.44444444,174.59,7.693,200,1.28,0.73,41.92403851,,NA
2016,1,12,248,Saline,Ames 31948,UGA-SAM1-256,9036,177.5,330,4.81,4.97,874.26,6.08,14,14,NA,NA,3.021826219,239,85,84,156,120,3,287,136,13,1.402990745,46.42857143,14.44444444,177.21,5.651,200,0.23,0.07,38.67294406,,NA
2016,1,12,259,Saline,Ames 31959,UGA-SAM1-267,9034,167.5,330,4.84,4.99,1491.78,10.75,11,13,NA,NA,2.590136759,228,74,113,107,110,3,272,121,17,1.834680204,70.83333333,18.88888889,NA,9.018,200,0.05,NA,NA,no air at harvest,NA
2016,1,12,260,Control,Ames 31960,UGA-SAM1-268,2030,147.5,45,0,0.05,1330.84,8.22,30,27,NA,NA,6.151574803,227,73,154,155,154.5,4,287,136,57,NA,NA,63.33333333,148.48,11.79,200,1.47,NA,NA,no air,NA
2016,1,12,261,Saline,Ames 31961,UGA-SAM1-269,10034,167.5,365,6.34,6.44,842.16,6.04,19,20,NA,NA,4.208972234,228,74,107,129,118,2,272,121,33,3.561438044,84.61538462,36.66666667,159.52,8.012,200,0.74,0.44,36.47163877,,NA
2016,1,12,27,Saline,Ames 31721,UGA-SAM1-028,10035,172.5,365,6.35,6.44,654.06,4.81,6,5,NA,NA,1.187146015,230,76,125,113,119,1,272,121,8,0.86337892,72.72727273,8.888888889,138.78,14.186,200,0.21,0.16,25.83767546,,NA
2016,1,12,270,Saline,Ames 31970,UGA-SAM1-278,10031,152.5,365,6.28,6.49,534.78,3.92,9,23,NA,NA,3.453515679,221,67,106,89,97.5,1,272,121,25,2.698059124,78.125,27.77777778,180.39,6.62,200,1.18,0.72,41.53901503,,NA
2016,1,12,275,Saline,Ames 31976,UGA-SAM1-284,9033,162.5,330,4.85,5,902.19,6.29,5,2,NA,NA,0.755456555,230,76,102,125,113.5,1,287,136,10,1.07922365,NA,11.11111111,147.73,11.482,200,0.36,0.19,31.12369129,,NA
2016,1,12,285,Control,RHA 472,,2034,167.5,45,0,0.14,870.45,4.75,22,27,NA,NA,5.288195883,226,72,132,115,123.5,1,287,136,49,NA,NA,54.44444444,196.13,6.486,200,0.99,0.59,42.55843672,,NA
2016,1,12,287,Control,RHA 476,,1031,152.5,10,0,0,1050.66,6,15,22,NA,NA,3.993127504,217,63,113,121,117,4,263,112,37,NA,NA,41.11111111,216.24,6.688,200,0.65,0.39,42.06701677,,NA
2016,1,12,66,Control,Ames 31761,UGA-SAM1-068,2031,152.5,45,0,0.07,1016.81,5.96,18,25,NA,NA,4.640661694,237,83,205,191,198,5,287,136,43,NA,NA,47.77777778,173.96,6.048,200,0.43,0.1,35.34548944,,NA
2016,1,12,66,Saline,Ames 31761,UGA-SAM1-068,9030,147.5,330,4.83,5.07,1060.48,6.47,18,13,NA,NA,3.345593314,235,81,121,159,140,1,287,136,24,2.590136759,77.41935484,26.66666667,177.63,7.533,200,0.43,0.15,28.54940156,,NA
2016,1,12,89,Saline,Ames 31785,UGA-SAM1-093,9037,182.5,330,4.79,4.96,1151.6,7.4,10,15,NA,NA,2.698059124,228,74,148,116,132,1,263,112,23,2.482214394,92,25.55555556,160.58,12.633,200,0.92,0.64,30.00159536,,NA
2016,1,12,9,Control,Ames 31703,UGA-SAM1-010,1030,147.5,10,0,0,1122.51,6.46,23,17,NA,NA,4.316894599,221,67,139,138,138.5,1,277,126,40,NA,NA,44.44444444,201.47,4.821,200,1.23,0.29,35.6833041,,NA
